"","vendors","id","price","size","cost_per_size"
"2439","Save-On-Foods",6529,17,608.78,0.03
"2440","Galleria",15469,14.26,189.52,0.08
"2441","T&T",46622,31.17,642.11,0.05
"2442","Loblaws",34661,17.32,360.73,0.05
"2443","Loblaws",67627,3.7,161.21,0.02
"2444","Walmart",39048,31.05,660.66,0.05
"2445","Loblaws",58862,16.89,287.87,0.06
"2446","T&T",67683,25.94,89.97,0.29
"2447","Save-On-Foods",25903,32.31,27.09,1.19
"2448","Loblaws",86141,3.93,133.42,0.03
"2449","Walmart",69948,3.92,288.5,0.01
"2450","Walmart",90606,9,337.1,0.03
"2451","Metro",96983,28.41,281.95,0.1
"2452","Walmart",18338,16.94,16.53,1.02
"2453","Walmart",94701,32.83,113.94,0.29
"2454","No Frills",93536,3.58,350.85,0.01
"2455","Galleria",23480,34.75,493.41,0.07
"2456","Galleria",61747,9.79,483.83,0.02
"2457","Loblaws",1958,36.19,497.84,0.07
"2458","Galleria",43368,39.71,910.43,0.04
"2459","Metro",25612,15.76,528.04,0.03
"2460","T&T",46174,23.65,803.38,0.03
"2461","T&T",96981,37,682.4,0.05
"2462","Voila",66288,33.89,166.21,0.2
"2463","Loblaws",26670,8.76,660.08,0.01
"2464","Loblaws",23928,2.06,891.3,0
"2465","T&T",96291,34.8,113.5,0.31
"2466","Loblaws",86809,46.73,381.15,0.12
"2467","No Frills",40910,7.43,346.18,0.02
"2468","T&T",99,33.19,822.4,0.04
"2469","Save-On-Foods",7343,19.75,825.42,0.02
"2470","Galleria",93415,34.07,147.09,0.23
"2471","No Frills",41881,44.62,754.87,0.06
"2472","Loblaws",81506,21.09,195.7,0.11
"2473","Loblaws",45770,19.99,796.35,0.03
"2474","T&T",34593,36.26,742.95,0.05
"2475","Metro",23429,23.19,986.82,0.02
"2476","No Frills",75309,12.18,413.72,0.03
"2477","Loblaws",93945,18.5,254.21,0.07
"2478","Voila",67407,17.03,418.78,0.04
"2479","No Frills",46375,48.41,185.9,0.26
"2480","Loblaws",62168,48,399.23,0.12
"2481","T&T",14318,43.34,668.54,0.06
"2482","Voila",69924,16.92,675.04,0.03
"2483","Metro",84628,32.99,315.19,0.1
"2484","Loblaws",69315,6.53,733.89,0.01
"2485","Galleria",99143,41.03,327.11,0.13
"2486","T&T",84854,3.83,433.17,0.01
"2487","Voila",52934,6.17,217.96,0.03
"2488","Loblaws",76913,25.35,216.16,0.12
"2489","Galleria",50889,26.55,210.47,0.13
"2490","Loblaws",74085,33.46,418.01,0.08
"2491","No Frills",54508,49.33,393.11,0.13
"2492","No Frills",21429,25.57,761.09,0.03
"2493","Metro",57827,45.76,357.29,0.13
"2494","Loblaws",1337,45.23,278.03,0.16
"2495","Voila",43907,26.76,315.78,0.08
"2496","Voila",8249,6.77,540.76,0.01
"2497","Save-On-Foods",13559,40.84,477.92,0.09
"2498","Voila",91067,26.76,152.37,0.18
"2499","Metro",45861,23.61,481.73,0.05
"2500","Galleria",15870,39.81,602.45,0.07
"2501","Walmart",37576,47.31,726.26,0.07
"2502","Loblaws",55135,36.78,192.25,0.19
"2503","Loblaws",8241,11.74,536.13,0.02
"2504","Voila",21519,9.47,846.13,0.01
"2505","Loblaws",91923,27.77,904.41,0.03
"2506","Loblaws",61401,32.58,667.65,0.05
"2507","Save-On-Foods",64288,6.71,353.28,0.02
"2508","No Frills",19732,3.73,845.88,0
"2509","Walmart",83716,49.56,472.38,0.1
"2510","T&T",11419,25.73,248.32,0.1
"2511","Metro",10367,0.68,667.05,0
"2512","Metro",16735,26.08,362.01,0.07
"2513","Loblaws",48454,8.41,368.66,0.02
"2514","No Frills",82217,17.45,994.57,0.02
"2515","No Frills",7036,19.61,710.62,0.03
"2516","No Frills",74351,47.23,344.98,0.14
"2517","Walmart",57289,32.16,21.87,1.47
"2518","T&T",8300,48.87,241.27,0.2
"2519","Walmart",80048,22.15,482.54,0.05
"2520","Voila",72138,41.8,43.18,0.97
"2521","Walmart",75968,7.92,788.66,0.01
"2522","Metro",72580,49.05,474.17,0.1
"2523","Metro",60782,5.51,648.59,0.01
"2524","Loblaws",4660,20.58,808.47,0.03
"2525","No Frills",7673,0.94,869.22,0
"2526","Save-On-Foods",60403,6.49,40.75,0.16
"2527","Loblaws",14289,11.06,86.97,0.13
"2528","Loblaws",44732,42.76,190.08,0.22
"2529","T&T",96142,34.57,848.49,0.04
"2530","T&T",34512,17.54,574.58,0.03
"2531","Galleria",48556,23.47,386.75,0.06
"2532","Loblaws",90264,22.88,433.08,0.05
"2533","Save-On-Foods",17054,3.55,60.22,0.06
"2534","Galleria",47122,4.15,890.67,0
"2535","Voila",39788,28.07,561.55,0.05
"2536","Galleria",22090,25.43,210.7,0.12
"2537","Loblaws",46620,10.5,779.81,0.01
"2538","T&T",37973,16.58,93.55,0.18
"2539","No Frills",85188,40.55,530.26,0.08
"2540","Metro",38677,18.95,937.93,0.02
"2541","Loblaws",48411,25.63,369.3,0.07
"2542","Galleria",26182,40.39,582.97,0.07
"2543","Metro",10600,1.57,351.38,0
"2544","Loblaws",81960,6.27,892.22,0.01
"2545","Galleria",6976,26.82,995.42,0.03
"2546","No Frills",95210,45.08,397.85,0.11
"2547","T&T",4554,46.13,933.28,0.05
"2548","Save-On-Foods",26412,42.99,864.06,0.05
"2549","Galleria",39702,41.57,396.78,0.1
"2550","T&T",11624,17.31,69.05,0.25
"2551","Loblaws",49273,12.28,61.85,0.2
"2552","Loblaws",74807,24.4,105.33,0.23
"2553","No Frills",21134,2.46,200.03,0.01
"2554","Walmart",60980,2.92,844.75,0
"2555","Loblaws",83643,18.97,673.05,0.03
"2556","Galleria",3386,33.12,162.65,0.2
"2557","Loblaws",41679,42.13,643.88,0.07
"2558","Voila",46605,8.05,89.07,0.09
"2559","Save-On-Foods",26627,20.89,41.09,0.51
"2560","Galleria",85783,1.69,930.05,0
"2561","No Frills",54354,29.77,246.47,0.12
"2562","T&T",47488,25.92,557.18,0.05
"2563","Galleria",34962,3.21,638.92,0.01
"2564","Loblaws",43716,18.86,992.55,0.02
"2565","Walmart",69472,37.97,892.51,0.04
"2566","T&T",84851,17.57,400.92,0.04
"2567","No Frills",6811,30.46,766.16,0.04
"2568","T&T",15705,29.64,22.59,1.31
"2569","Loblaws",14959,12.49,680.31,0.02
"2570","No Frills",79037,28.14,465.93,0.06
"2571","Loblaws",9110,5.83,619,0.01
"2572","No Frills",46092,48.27,428.76,0.11
"2573","Loblaws",95319,10.07,383.22,0.03
"2574","Voila",91654,14.93,887.54,0.02
"2575","Galleria",87863,34.03,423.75,0.08
"2576","Metro",87268,28.19,92.45,0.3
"2577","Walmart",24794,48.55,498.23,0.1
"2578","T&T",81695,49.78,588.16,0.08
"2579","Voila",98247,45.88,465.09,0.1
"2580","Save-On-Foods",79751,30.2,888.57,0.03
"2581","Voila",56602,28.69,656.89,0.04
"2582","Loblaws",63452,34.7,616.43,0.06
"2583","Voila",5521,28.95,233.21,0.12
"2584","T&T",36689,24.36,960.01,0.03
"2585","T&T",29198,36.82,407.05,0.09
"2586","Metro",82782,42.99,969.75,0.04
"2587","Metro",62252,29.58,163.83,0.18
"2588","Voila",6231,25.44,103.71,0.25
"2589","Loblaws",56402,16.2,631.83,0.03
"2590","Galleria",99527,3.79,165.08,0.02
"2591","Loblaws",36952,23.43,488.29,0.05
"2592","Galleria",9973,1.41,103.73,0.01
"2593","Metro",28262,29.32,711.47,0.04
"2594","T&T",79026,14.23,809.73,0.02
"2595","Galleria",51734,6.25,27.54,0.23
"2596","T&T",4367,7.24,745.28,0.01
"2597","T&T",70702,48.35,428.58,0.11
"2598","Loblaws",15512,31.24,275.24,0.11
"2599","Loblaws",27554,49.84,658.19,0.08
"2600","Walmart",79803,29.21,666.01,0.04
"2601","No Frills",40105,25.19,931.22,0.03
"2602","Galleria",64157,3.01,431.09,0.01
"2603","Voila",87356,25.01,555.64,0.05
"2604","Loblaws",17903,48.36,643.83,0.08
"2605","Save-On-Foods",4069,32.41,297.73,0.11
"2606","Voila",53310,34.9,428.77,0.08
"2607","T&T",19826,13.86,496.53,0.03
"2608","Walmart",65236,33.99,704.73,0.05
"2609","Galleria",4824,47.39,900.62,0.05
"2610","No Frills",43505,43.05,422.75,0.1
"2611","Walmart",55685,12.4,355.75,0.03
"2612","No Frills",39463,38.64,544.78,0.07
"2613","Loblaws",40578,46.81,984.22,0.05
"2614","Metro",86380,22.34,716.83,0.03
"2615","Voila",23592,42.08,559.83,0.08
"2616","Walmart",92536,8.34,625.21,0.01
"2617","Save-On-Foods",24392,28.82,532.61,0.05
"2618","Save-On-Foods",45310,1.46,940.86,0
"2619","Loblaws",7579,12.33,534.06,0.02
"2620","Loblaws",73729,8.97,554.54,0.02
"2621","Voila",18993,23.64,971.7,0.02
"2622","Loblaws",58930,8.61,36.06,0.24
"2623","Galleria",81505,1.46,859.43,0
"2624","T&T",62283,27.07,688.09,0.04
"2625","T&T",73703,4.83,709.78,0.01
"2626","Loblaws",86172,39.65,267.38,0.15
"2627","Loblaws",84331,44.25,897.74,0.05
"2628","No Frills",77030,19.6,582.03,0.03
"2629","Loblaws",87582,32.29,96.13,0.34
"2630","No Frills",63143,24.4,406.67,0.06
"2631","Loblaws",13396,7.12,842.91,0.01
"2632","Save-On-Foods",64217,5.42,79.88,0.07
"2633","Galleria",36715,1.96,350.58,0.01
"2634","Galleria",62595,18.86,299.61,0.06
"2635","Walmart",2950,16.95,280.98,0.06
"2636","Galleria",58961,1.06,607.16,0
"2637","Loblaws",43542,30.07,487.04,0.06
"2638","Walmart",54061,23.97,567.72,0.04
"2639","Galleria",92743,21.44,874.62,0.02
"2640","Metro",5577,10.7,635.76,0.02
"2641","Save-On-Foods",32868,23.64,323.45,0.07
"2642","No Frills",29629,8.86,826.83,0.01
"2643","T&T",77004,16.75,804.45,0.02
"2644","Loblaws",12925,1.48,177.73,0.01
"2645","Loblaws",80753,26.66,937.41,0.03
"2646","Loblaws",69938,24.1,309.33,0.08
"2647","Walmart",40621,14.15,235.14,0.06
"2648","Galleria",78421,47.11,624.19,0.08
"2649","No Frills",41489,45.01,290.79,0.15
"2650","Galleria",50650,36.45,481.81,0.08
"2651","No Frills",46507,21.09,769.53,0.03
"2652","Walmart",1106,13.49,613.35,0.02
"2653","Metro",63566,19.08,41.9,0.46
"2654","T&T",40138,37.05,983.12,0.04
"2655","Loblaws",44962,21.58,856.52,0.03
"2656","Metro",30107,28.81,456.54,0.06
"2657","Voila",51078,43.42,111.12,0.39
"2658","T&T",73838,11.08,900.38,0.01
"2659","Loblaws",94187,6.29,293.93,0.02
"2660","No Frills",79406,11.66,823.86,0.01
"2661","Loblaws",91442,26.97,170.61,0.16
"2662","Voila",88223,24.06,640.72,0.04
"2663","T&T",82767,9.79,892.1,0.01
"2664","Metro",75846,45.1,271.82,0.17
"2665","T&T",52502,47.4,413.24,0.11
"2666","Galleria",93147,42.96,834.69,0.05
"2667","Walmart",19385,40.13,920.55,0.04
"2668","Galleria",8526,11.23,555.63,0.02
"2669","Walmart",9068,3.45,172.15,0.02
"2670","No Frills",89007,7.43,323.31,0.02
"2671","Loblaws",66869,13.82,419.68,0.03
"2672","Galleria",84873,49.66,808.49,0.06
"2673","Walmart",96614,8.1,755.75,0.01
"2674","Loblaws",82036,12.62,328.3,0.04
"2675","No Frills",23494,41.89,155.45,0.27
"2676","T&T",29724,15.24,418.57,0.04
"2677","Loblaws",77020,31.12,325.03,0.1
"2678","Metro",32787,20.16,839.08,0.02
"2679","T&T",35148,41.73,471.31,0.09
"2680","Galleria",19334,39.08,97.05,0.4
"2681","Walmart",42546,0.38,394.62,0
"2682","Save-On-Foods",58992,23.4,874.16,0.03
"2683","T&T",48672,19.15,714.96,0.03
"2684","No Frills",53618,10.86,137.48,0.08
"2685","Loblaws",71991,30.14,192.85,0.16
"2686","Walmart",24203,25.07,462.92,0.05
"2687","T&T",33797,12.1,200.09,0.06
"2688","Loblaws",50920,4.85,563.97,0.01
"2689","Galleria",99495,45.66,638.69,0.07
"2690","Loblaws",24971,8.15,598.13,0.01
"2691","Metro",8755,2.02,588.73,0
"2692","Loblaws",58034,11,921.71,0.01
"2693","Walmart",58800,39.07,469.34,0.08
"2694","Loblaws",36080,26.08,275.6,0.09
"2695","Galleria",64371,6.24,811.48,0.01
"2696","T&T",59795,18.91,116.28,0.16
"2697","Walmart",70340,46.65,479.71,0.1
"2698","Voila",71127,26.95,961.32,0.03
"2699","Walmart",31329,42.57,919.86,0.05
"2700","Walmart",89617,48.36,97.56,0.5
"2701","Metro",82624,9.84,791.13,0.01
"2702","Galleria",72071,17.53,61.31,0.29
"2703","No Frills",5332,36.45,291.53,0.13
"2704","Metro",75854,38.84,224.18,0.17
"2705","Galleria",78,15.57,171.83,0.09
"2706","Save-On-Foods",45263,32.2,25.99,1.24
"2707","No Frills",94847,48.52,31.82,1.52
"2708","Galleria",71321,28.25,888.4,0.03
"2709","Loblaws",95162,12.67,604.91,0.02
"2710","Metro",87792,44.51,635.52,0.07
"2711","Galleria",96067,18.05,116.67,0.15
"2712","Save-On-Foods",31497,23.16,233.38,0.1
"2713","Galleria",52147,14.4,923.99,0.02
"2714","Metro",27203,34.19,106.86,0.32
"2715","Metro",88648,13.04,166.07,0.08
"2716","No Frills",49648,46.17,344.61,0.13
"2717","No Frills",52514,10.52,28.45,0.37
"2718","Save-On-Foods",97620,29.31,345.1,0.08
"2719","T&T",56573,2.6,409.31,0.01
"2720","Galleria",41050,27.39,150.35,0.18
"2721","Walmart",49741,24.42,395.23,0.06
"2722","Loblaws",91384,21.8,186.06,0.12
"2723","Galleria",77514,14.87,159.93,0.09
"2724","Loblaws",78785,5.28,635.96,0.01
"2725","Save-On-Foods",39121,2.04,38.29,0.05
"2726","Save-On-Foods",54495,35.64,132.78,0.27
"2727","Galleria",10223,1.69,48.97,0.03
"2728","No Frills",67679,46.4,635.73,0.07
"2729","Metro",20659,32.54,169.44,0.19
"2730","T&T",34022,3.9,47.91,0.08
"2731","Voila",80996,46.39,586.32,0.08
"2732","Save-On-Foods",8794,15.32,531.15,0.03
"2733","T&T",76972,1.91,886.28,0
"2734","Galleria",45766,11.57,534.35,0.02
"2735","Galleria",72969,49.51,39.17,1.26
"2736","Loblaws",47908,26.92,377.23,0.07
"2737","Voila",15717,24.24,298.54,0.08
"2738","T&T",94876,48.21,657.36,0.07
"2739","Voila",42275,14.02,623.4,0.02
"2740","Loblaws",33147,23.59,981.93,0.02
"2741","Loblaws",673,2.61,180.98,0.01
"2742","Walmart",6584,32.6,216.88,0.15
"2743","Galleria",66458,18.31,905.02,0.02
"2744","Galleria",18468,32.49,242.86,0.13
"2745","Metro",4476,17.63,954.95,0.02
"2746","No Frills",23022,39.48,235.1,0.17
"2747","T&T",1648,5.81,847.26,0.01
"2748","Loblaws",1474,17.01,328.31,0.05
"2749","Walmart",61611,13.89,0.82,16.94
"2750","Loblaws",35163,26.08,273.23,0.1
"2751","Save-On-Foods",2944,24.47,566.34,0.04
"2752","Save-On-Foods",12262,42.33,617.28,0.07
"2753","Loblaws",30950,20.51,109.55,0.19
"2754","No Frills",77211,29.81,703.39,0.04
"2755","Galleria",76409,20.28,949.43,0.02
"2756","T&T",40085,23.84,109.12,0.22
"2757","Galleria",42619,33.23,776.79,0.04
"2758","T&T",94474,37.84,839.64,0.05
"2759","Galleria",60681,31.88,433.52,0.07
"2760","Galleria",53074,3.54,866.26,0
"2761","No Frills",39744,29.45,197.99,0.15
"2762","Save-On-Foods",83463,6.22,601.74,0.01
"2763","Galleria",48723,31.96,898.77,0.04
"2764","T&T",62005,24.46,474.39,0.05
"2765","T&T",9669,23.65,184.71,0.13
"2766","No Frills",56279,4.8,909.24,0.01
"2767","T&T",72354,45.39,500.85,0.09
"2768","Galleria",94224,44.14,918,0.05
"2769","Walmart",91595,43.62,664.34,0.07
"2770","Loblaws",26050,20.01,40.44,0.49
"2771","Loblaws",2407,33,581.52,0.06
"2772","Save-On-Foods",45787,0.92,208.36,0
"2773","Loblaws",40022,26.06,156.06,0.17
"2774","Walmart",80514,4.2,0.98,4.29
"2775","Loblaws",88788,43.21,72.13,0.6
"2776","T&T",87088,7.41,745.76,0.01
"2777","Galleria",89054,34.03,338.38,0.1
"2778","Metro",15889,40.42,235.51,0.17
"2779","Metro",30885,7.85,937.15,0.01
"2780","No Frills",36192,17.56,659.04,0.03
"2781","Metro",82134,5.92,483.52,0.01
"2782","Galleria",6279,15.29,677.92,0.02
"2783","Loblaws",11020,2.84,82.66,0.03
"2784","Galleria",73393,1.35,197.14,0.01
"2785","Metro",77059,25.34,362.25,0.07
"2786","Metro",91685,20.21,241.36,0.08
"2787","Walmart",98940,38.83,169.87,0.23
"2788","T&T",34671,16.83,419.33,0.04
"2789","Loblaws",44045,8.72,457.86,0.02
"2790","Galleria",46637,8.59,467.7,0.02
"2791","T&T",37614,16.87,797.4,0.02
"2792","No Frills",36476,27.94,832.79,0.03
"2793","Save-On-Foods",78713,0.99,666.34,0
"2794","Metro",22689,37.15,134.38,0.28
"2795","Save-On-Foods",96741,37.93,214.25,0.18
"2796","Save-On-Foods",78759,38.13,966.13,0.04
"2797","T&T",1683,10.55,18.85,0.56
"2798","Walmart",91456,11.97,330.24,0.04
"2799","Save-On-Foods",83400,44.92,146.52,0.31
"2800","Loblaws",28401,31.18,310.58,0.1
"2801","No Frills",12156,19.8,43.45,0.46
"2802","Loblaws",65446,41.63,323.54,0.13
"2803","Save-On-Foods",5961,7.33,116.11,0.06
"2804","Galleria",3905,18,635.47,0.03
"2805","No Frills",64080,43.59,892.83,0.05
"2806","Loblaws",72374,43.89,768.89,0.06
"2807","T&T",87990,24.87,193.28,0.13
"2808","No Frills",3585,18.27,244.29,0.07
"2809","Metro",53719,9.82,308.7,0.03
"2810","Galleria",43160,12.21,327.28,0.04
"2811","Galleria",33377,40.55,723.54,0.06
"2812","Metro",26341,14.23,322.56,0.04
"2813","Loblaws",74235,33.25,59.95,0.55
"2814","Metro",76924,24.49,611.98,0.04
"2815","Walmart",14892,33.99,99.41,0.34
"2816","T&T",72517,8.41,364.05,0.02
"2817","Loblaws",98254,11.37,446.95,0.03
"2818","Loblaws",67540,25.17,723.29,0.03
"2819","Galleria",35636,37.51,154.02,0.24
"2820","Galleria",97984,6.79,447.29,0.02
"2821","Loblaws",7323,11.4,830.24,0.01
"2822","Save-On-Foods",50952,31.88,967.98,0.03
"2823","Walmart",35210,46.56,909.8,0.05
"2824","Galleria",63016,35.94,616.22,0.06
"2825","Voila",85327,45.13,130.56,0.35
"2826","Metro",51573,7.33,18.4,0.4
"2827","Walmart",28710,48.76,240.64,0.2
"2828","Galleria",32387,17.28,777.43,0.02
"2829","No Frills",17399,16.59,270.95,0.06
"2830","Voila",3849,45.01,336.48,0.13
"2831","Voila",6119,26.53,778.05,0.03
"2832","Loblaws",6854,8.07,122.66,0.07
"2833","Galleria",45123,47.84,596.48,0.08
"2834","Voila",23740,19.37,990.59,0.02
"2835","Voila",20992,31.22,883.12,0.04
"2836","Save-On-Foods",77254,30.28,13.44,2.25
"2837","Voila",79248,34.73,436.23,0.08
"2838","Loblaws",16438,9.68,741.39,0.01
"2839","Loblaws",31553,7.61,499.39,0.02
"2840","Voila",90334,50,755.84,0.07
"2841","Save-On-Foods",56923,3.32,672.25,0
"2842","Loblaws",92837,47,649.13,0.07
"2843","T&T",2963,34.98,291.63,0.12
"2844","Loblaws",16180,34.93,305.04,0.11
"2845","Galleria",63961,39.29,154.39,0.25
"2846","Save-On-Foods",66408,49.93,980.77,0.05
"2847","Galleria",8011,34.58,50.77,0.68
"2848","Galleria",26550,5.55,185.45,0.03
"2849","Voila",54234,32.4,457.8,0.07
"2850","Walmart",15445,46.75,62.3,0.75
"2851","Loblaws",97128,13.13,949.66,0.01
"2852","Loblaws",97895,23.28,633.59,0.04
"2853","No Frills",47897,28.68,766.35,0.04
"2854","Walmart",52823,18.45,524.36,0.04
"2855","Galleria",87520,36.16,186.14,0.19
"2856","Loblaws",82535,16.01,743.07,0.02
"2857","Loblaws",27135,3.06,928.76,0
"2858","Voila",46431,37.76,465.36,0.08
"2859","No Frills",19491,5.65,558.85,0.01
"2860","Save-On-Foods",58193,11.03,165.64,0.07
"2861","Voila",92828,19.84,240.31,0.08
"2862","Galleria",40169,27.69,191.12,0.14
"2863","Walmart",35849,24.74,114.16,0.22
"2864","Galleria",19117,4.82,783.78,0.01
"2865","No Frills",63990,23.95,336.9,0.07
"2866","Galleria",53991,37.72,620.64,0.06
"2867","Loblaws",42317,13.29,394.23,0.03
"2868","Metro",80416,38.99,911.74,0.04
"2869","Loblaws",39367,9.9,588.87,0.02
"2870","T&T",92159,28.18,53.1,0.53
"2871","Galleria",22597,46.35,851.05,0.05
"2872","Walmart",90059,16.93,108.35,0.16
"2873","Metro",66077,23.33,405.49,0.06
"2874","Loblaws",27315,4.44,513.42,0.01
"2875","T&T",96686,25.36,71.79,0.35
"2876","T&T",56269,36.49,578.86,0.06
"2877","Voila",66052,32.43,844.73,0.04
"2878","T&T",80317,28.46,320.52,0.09
"2879","Save-On-Foods",36299,36.75,105.33,0.35
"2880","Loblaws",83762,31.98,674.54,0.05
"2881","No Frills",51030,9.68,982,0.01
"2882","Walmart",73140,41.8,545.33,0.08
"2883","Walmart",94476,43.61,368.04,0.12
"2884","Voila",23712,29.14,362.81,0.08
"2885","Metro",67908,13.43,605.17,0.02
"2886","Metro",89510,19.82,210.81,0.09
"2887","Save-On-Foods",49505,19.59,552.96,0.04
"2888","T&T",8228,48.6,795.75,0.06
"2889","Voila",65946,31.37,200.6,0.16
"2890","T&T",25963,26.97,38.33,0.7
"2891","Save-On-Foods",6243,14.24,190.48,0.07
"2892","Galleria",36355,38.85,207.93,0.19
"2893","T&T",54247,36.21,109.55,0.33
"2894","Galleria",43559,0.33,304.88,0
"2895","Loblaws",56163,23,316.4,0.07
"2896","No Frills",28824,19.12,959.05,0.02
"2897","Loblaws",49256,37.61,691.05,0.05
"2898","Voila",48858,19.54,233.36,0.08
"2899","Save-On-Foods",20009,17.8,126.84,0.14
"2900","Loblaws",88618,45.22,238.44,0.19
"2901","T&T",84668,13.8,315.77,0.04
"2902","Galleria",72799,4.66,304.87,0.02
"2903","Loblaws",33702,44.04,644.96,0.07
"2904","Loblaws",97705,33.28,638.37,0.05
"2905","T&T",81270,46.36,722.53,0.06
"2906","Loblaws",63182,23.83,60.96,0.39
"2907","No Frills",33628,40.19,120.44,0.33
"2908","Walmart",25252,36.33,955.13,0.04
"2909","Voila",19834,42.8,733.92,0.06
"2910","Walmart",67938,15.21,221.5,0.07
"2911","Walmart",79224,24.2,548.18,0.04
"2912","Loblaws",32727,38.25,460.9,0.08
"2913","Metro",63829,33.17,824.36,0.04
"2914","No Frills",49262,27.84,379.75,0.07
"2915","No Frills",25902,36.57,380.33,0.1
"2916","Loblaws",22080,24.17,524.49,0.05
"2917","Walmart",22379,48.32,146.72,0.33
"2918","Save-On-Foods",85738,35.45,724.7,0.05
"2919","T&T",44683,12.51,809.62,0.02
"2920","Galleria",42741,18.08,357.82,0.05
"2921","Metro",53001,45.66,872.31,0.05
"2922","No Frills",75504,14.86,905.07,0.02
"2923","No Frills",11403,10.12,530.8,0.02
"2924","Galleria",74046,38.31,207.52,0.18
"2925","Metro",97238,48.81,707.47,0.07
"2926","Loblaws",4217,19.79,551.12,0.04
"2927","Voila",38548,40.98,355.85,0.12
"2928","Metro",28195,37.28,374.64,0.1
"2929","Loblaws",12088,45.16,275.68,0.16
"2930","No Frills",22059,4.5,290.7,0.02
"2931","Voila",63983,29.73,260.05,0.11
"2932","Walmart",69269,30.49,733.89,0.04
"2933","Metro",15992,10.68,519.48,0.02
"2934","Loblaws",63690,34.47,697.14,0.05
"2935","No Frills",98584,39.9,792.23,0.05
"2936","No Frills",6509,24.47,41.46,0.59
"2937","Galleria",74544,22.77,843.88,0.03
"2938","Voila",68880,28.35,103.73,0.27
"2939","No Frills",99066,0.49,877.92,0
"2940","Galleria",42252,0.47,160.59,0
"2941","No Frills",79606,25.13,255.56,0.1
"2942","Loblaws",37510,17.88,25.58,0.7
"2943","No Frills",1259,2.92,510.58,0.01
"2944","T&T",24737,31.18,125.16,0.25
"2945","Voila",45768,17.03,582.23,0.03
"2946","No Frills",76832,46.79,932.25,0.05
"2947","Galleria",50223,30.08,42.12,0.71
"2948","Loblaws",95828,4.42,601.18,0.01
"2949","Loblaws",40291,19.71,955.36,0.02
"2950","Metro",15667,36.47,609.96,0.06
"2951","No Frills",30465,28.46,861.44,0.03
"2952","Walmart",57693,36.82,156.79,0.23
"2953","Loblaws",42844,48.07,748.81,0.06
"2954","Walmart",50718,11.79,560.88,0.02
"2955","Walmart",72380,46.1,363.23,0.13
"2956","Galleria",41013,0.09,865.58,0
"2957","Galleria",21771,2.01,308.55,0.01
"2958","Loblaws",81295,38.44,801.09,0.05
"2959","No Frills",68223,38.27,370.07,0.1
"2960","Save-On-Foods",60938,12.35,902.02,0.01
"2961","No Frills",5283,27.31,761.62,0.04
"2962","Metro",1753,46.32,813.49,0.06
"2963","Walmart",67944,35.99,416.48,0.09
"2964","Loblaws",9036,48.8,804.95,0.06
"2965","Loblaws",22596,43.95,66.99,0.66
"2966","Loblaws",29501,35.03,528.4,0.07
"2967","Loblaws",87515,19.65,144.1,0.14
"2968","Metro",85884,22.73,53.86,0.42
"2969","No Frills",89745,13.45,272.26,0.05
"2970","Galleria",80662,21.99,195.96,0.11
"2971","Voila",25900,26.63,376.32,0.07
"2972","Metro",58553,17.24,44.5,0.39
"2973","Galleria",37769,16.72,654.65,0.03
"2974","Walmart",65489,16.88,322.03,0.05
"2975","Loblaws",45136,7.87,687.62,0.01
"2976","Walmart",21374,9.59,436.06,0.02
"2977","Save-On-Foods",89539,18.31,988.38,0.02
"2978","Save-On-Foods",52128,47.44,175.52,0.27
"2979","Voila",80524,25.78,347.01,0.07
"2980","Loblaws",50878,8.2,489.58,0.02
"2981","Voila",36177,17.26,170.79,0.1
"2982","Loblaws",79547,29.97,590.52,0.05
"2983","Galleria",78378,42.3,28.57,1.48
"2984","Loblaws",39771,19.31,933.65,0.02
"2985","Loblaws",14962,31.07,628.92,0.05
"2986","Metro",25623,47.67,335.3,0.14
"2987","No Frills",46077,2.19,517.39,0
"2988","Walmart",48358,18.14,815.86,0.02
"2989","Galleria",55002,29.5,510.16,0.06
"2990","Metro",58886,42.18,350.13,0.12
"2991","Walmart",64012,24.06,668.58,0.04
"2992","No Frills",96467,26.78,650.35,0.04
"2993","Galleria",94199,2.26,87.02,0.03
"2994","Save-On-Foods",52696,29.55,743.18,0.04
"2995","Loblaws",18271,23.42,707.3,0.03
"2996","Loblaws",27286,20.64,496.5,0.04
"2997","Voila",2210,7.81,659.32,0.01
"2998","Voila",75027,12.17,223.88,0.05
"2999","Save-On-Foods",83440,15.16,842.81,0.02
"3000","Save-On-Foods",27911,46.1,83.67,0.55
"3001","Save-On-Foods",66265,1.7,723.2,0
"3002","Loblaws",9095,35.66,287.33,0.12
"3003","Metro",25745,35.31,391.99,0.09
"3004","Walmart",35271,8.78,678.81,0.01
"3005","T&T",10194,14.64,545.26,0.03
"3006","T&T",12991,36.11,654.14,0.06
"3007","T&T",88356,18.84,85.27,0.22
"3008","Voila",48346,42.39,544.71,0.08
"3009","T&T",59159,39.15,613.4,0.06
"3010","Metro",73762,12.04,594.49,0.02
"3011","Save-On-Foods",33367,33.73,772.09,0.04
"3012","Loblaws",62524,44.42,330.79,0.13
"3013","Metro",56769,23.63,596.18,0.04
"3014","Walmart",52984,31.92,146.46,0.22
"3015","Galleria",13313,16.22,240.68,0.07
"3016","Galleria",23422,15.24,246.63,0.06
"3017","Metro",28333,22.62,361.97,0.06
